A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,D
7,6,7,8,6,6,7,4,5,6,7,4,8,5,4,6,Q
9,2,7,5,5,4,11,6,1,5,8,4,5,3,8,5,I
10,4,11,5,8,3,6,9,11,5,7,5,8,3,8,5,R
6,7,13,6,8,3,6,9,3,6,12,5,5,2,9,6,F
8,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,H
8,4,6,5,4,2,8,7,12,1,7,9,8,8,6,0,M
9,4,8,6,6,6,6,8,5,4,7,5,8,4,6,9,K
6,3,6,4,4,3,5,11,7,3,10,7,2,1,10,3,P
8,3,11,6,8,3,11,2,3,3,10,1,9,3,7,3,A
11,4,10,5,7,2,3,6,8,3,7,7,11,4,8,2,K
8,3,7,5,5,1,8,8,4,2,7,14,8,3,10,0,V
8,4,5,6,4,3,6,10,2,4,10,7,7,5,8,1,N
8,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,Y
7,4,6,5,4,3,6,11,3,5,13,6,4,2,10,2,F
6,5,9,7,7,11,10,7,5,2,7,7,8,13,10,3,W
10,12,14,9,8,5,9,7,6,5,10,2,8,7,5,6,R
7,1,9,2,7,3,8,7,0,7,7,6,7,0,8,2,I
11,3,8,4,6,4,5,10,7,3,7,3,9,2,6,4,R
6,4,5,5,4,3,5,8,6,8,10,8,9,3,9,3,U
10,3,9,4,6,2,4,8,8,2,7,4,11,4,8,2,K
8,4,9,6,7,3,8,7,9,8,7,5,8,3,8,4,O
2,5,9,9,7,6,5,5,2,4,3,2,7,6,7,7,A
8,6,10,7,8,5,6,6,6,5,9,6,12,4,8,5,G
9,5,9,6,6,3,5,8,8,9,9,8,13,2,10,4,C
7,5,9,5,7,3,3,8,6,11,7,6,15,0,8,7,E
7,3,3,4,5,2,3,7,6,11,7,6,15,0,8,7,E
8,3,8,4,6,2,7,5,14,5,7,13,8,3,9,0,U
7,3,4,6,2,3,9,6,3,5,10,5,7,3,8,3,H
9,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,B
8,8,12,7,6,3,7,10,6,5,14,5,4,4,10,4,P
7,5,10,8,8,11,9,6,4,4,7,7,7,8,8,5,U
8,3,1,4,2,3,7,7,6,6,7,6,8,3,8,4,H
10,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,B
5,5,5,7,7,8,9,7,6,3,7,7,8,6,10,6,Y
8,6,7,4,11,4,8,5,4,4,11,6,8,3,9,10,Z
7,6,9,9,7,5,7,7,0,8,10,7,9,2,8,3,X
7,8,12,9,6,4,10,5,3,4,13,2,7,5,7,0,N
7,3,1,4,3,2,7,12,3,6,7,11,8,2,11,1,T
9,4,10,6,8,3,6,11,3,4,7,12,9,2,10,1,V
10,4,10,4,8,6,7,6,9,6,6,7,7,2,9,8,B
9,1,1,2,1,2,7,7,4,5,7,6,6,1,8,4,B
8,5,9,6,5,3,2,10,5,3,13,12,9,4,9,0,N
7,5,8,6,6,3,7,6,3,6,15,6,10,1,6,0,J
8,3,8,4,5,1,7,7,4,4,7,6,8,3,8,4,X
10,2,3,3,1,1,7,7,6,5,7,6,9,2,9,4,G
8,6,7,8,5,4,10,7,3,6,10,1,4,6,10,2,N
4,5,8,6,10,9,8,9,3,2,6,8,7,6,10,6,P
6,7,11,10,8,8,8,7,8,6,6,7,9,4,9,5,U
8,1,5,1,4,1,7,7,1,7,7,6,8,0,8,2,I
10,6,11,4,6,3,7,8,4,4,10,5,9,3,9,7,E
8,3,6,5,4,3,9,7,5,7,10,5,4,3,8,3,D
8,3,7,5,5,4,7,10,2,3,6,9,8,7,11,1,W
6,6,10,6,5,3,7,9,2,7,12,6,6,2,9,4,T
8,2,5,4,3,2,6,4,1,8,8,2,10,0,7,2,L
5,6,9,8,8,9,7,7,4,7,7,5,8,4,7,7,D
8,8,9,11,7,8,10,6,2,5,9,4,7,8,7,2,M
3,4,9,6,7,7,7,9,1,5,9,6,5,3,9,4,F
5,5,8,8,7,8,8,7,3,3,7,5,8,7,9,6,R
8,3,8,4,7,4,8,7,8,5,6,5,8,2,9,4,Q
8,5,5,6,8,2,8,4,14,6,6,14,8,3,9,0,U
5,3,3,3,2,1,5,12,2,7,11,9,5,1,10,1,T
10,6,10,7,7,4,10,5,4,8,11,4,8,2,9,5,S
5,4,8,6,6,3,5,4,3,10,5,1,7,1,6,3,L
8,5,10,7,7,6,6,7,7,7,7,6,8,4,11,7,T
8,3,6,4,8,4,7,9,5,3,8,9,10,3,8,6,Q
8,0,0,1,0,0,12,4,4,3,11,4,10,0,7,0,J
8,3,3,4,4,2,7,6,11,1,8,9,8,7,6,0,M
8,9,15,8,8,5,11,7,4,5,9,3,4,6,8,4,H
8,9,15,6,8,5,5,7,7,4,10,7,10,5,9,5,O
8,4,11,5,8,3,8,11,1,3,7,12,8,1,11,0,Y
9,3,9,5,6,3,6,7,7,6,5,7,9,2,7,4,G
9,3,5,5,3,3,8,8,4,5,9,5,6,3,7,4,R
7,4,9,7,7,5,7,2,1,2,5,2,7,4,6,5,A
8,5,10,7,7,5,9,7,5,7,10,4,5,3,8,3,D
8,3,2,4,3,3,7,7,5,5,6,5,6,3,7,4,R
6,5,7,6,5,4,8,6,8,6,7,7,8,2,7,4,J
11,6,11,7,8,6,7,7,8,7,6,5,10,2,7,5,G
10,6,9,8,10,7,7,8,4,6,7,7,7,4,8,10,J
9,8,13,8,8,5,9,3,3,3,11,6,11,4,8,7,L
8,2,3,3,2,2,8,11,3,6,6,10,8,2,11,1,T
4,5,8,5,6,3,3,10,1,7,11,11,6,1,10,3,Y
10,6,10,9,8,7,10,6,2,7,11,4,7,5,6,4,D
7,4,7,6,5,3,7,8,3,4,10,6,7,5,8,1,N
10,4,9,6,6,2,7,6,7,9,7,5,11,1,8,5,G
5,4,9,6,7,5,7,5,2,4,5,1,6,3,6,4,A
9,1,3,3,2,1,7,7,2,6,11,7,9,2,9,4,E
8,4,8,5,6,3,8,7,4,4,7,6,8,3,8,4,X
8,4,9,5,6,1,7,7,5,4,7,6,8,3,8,4,X
8,1,3,2,1,1,9,8,6,5,5,9,7,3,10,0,U
9,3,7,4,5,3,6,5,9,7,6,7,7,2,9,8,B
7,4,6,6,4,4,7,8,2,8,12,7,8,1,9,6,Z
8,1,3,3,1,1,8,8,2,5,14,5,8,1,7,0,J
10,1,3,2,2,1,7,7,4,4,9,7,10,2,8,3,G
7,3,6,5,4,3,5,8,3,8,11,8,9,2,8,4,E
8,3,7,4,5,3,8,8,7,5,7,5,6,2,8,8,S
7,3,7,5,5,6,8,6,5,3,7,6,8,6,10,8,B
7,4,7,6,5,3,9,3,2,2,8,1,8,2,6,3,A
11,4,11,4,8,3,6,9,10,5,7,6,8,3,8,6,R
6,3,9,5,7,2,8,6,3,6,15,5,9,1,6,1,J
3,5,9,7,7,7,8,5,7,2,6,7,8,7,7,5,W
8,5,7,6,6,5,4,8,3,6,7,6,10,3,9,7,C
11,5,9,6,6,7,9,6,5,2,6,6,10,6,7,5,G
11,3,9,4,6,3,4,7,7,3,7,6,12,3,8,3,K
10,7,15,6,8,3,10,2,3,5,13,4,12,2,8,5,L
9,4,8,5,6,5,8,7,6,3,6,6,10,3,8,7,E
9,1,0,1,0,1,7,8,6,4,7,6,7,1,8,6,B
5,2,3,3,1,1,6,12,3,6,11,9,5,1,11,2,T
7,3,4,4,3,2,7,12,4,6,7,11,8,2,11,1,T
8,3,2,5,4,2,6,10,1,8,8,11,8,1,11,2,Y
7,5,6,5,4,2,4,11,2,3,9,11,7,2,10,1,V
7,4,9,6,7,4,6,10,3,7,10,9,4,1,10,5,P
7,6,11,9,8,5,6,9,0,8,8,12,9,1,11,2,Y
8,5,9,7,8,6,7,8,3,6,6,7,9,3,8,8,L
6,6,9,5,4,3,8,6,5,5,6,6,7,4,7,3,U
5,6,11,6,8,6,7,7,8,4,10,6,9,4,9,5,O
9,1,0,1,0,0,7,7,6,4,7,6,7,1,8,5,B
7,3,6,4,4,2,7,7,0,7,13,6,8,0,8,1,I
7,3,8,5,6,4,6,11,2,7,8,11,8,2,12,1,T
7,8,12,7,6,3,7,10,4,6,3,5,9,5,9,2,N
11,4,11,5,8,3,6,10,10,4,7,4,8,3,7,5,R
